#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
330,Tayler Saucedo,LAA,2,2,4.07,34,0,0,1,,34.0,148,33,17,15,4,15,1,2,30,7.91,3.98,1.42,20.3%,10.2%
331,AJ Smith-Shawver,ATL,0,0,3.80,8,0,0,1,,8.0,34,7,4,3,1,3,0,0,9,10.32,3.32,1.24,27.3%,8.8%
332,Lou Trivino,PHI,1,1,4.37,24,0,0,1,,24.0,104,23,13,12,3,10,1,1,21,7.96,3.70,1.38,20.4%,9.5%
333,Jhony Brito,SDP,1,1,4.03,16,0,0,1,,16.0,68,16,8,7,2,5,0,1,14,7.82,2.97,1.31,20.4%,7.7%
334,Julian Aguiar,CIN,2,2,4.63,28,2,0,1,,35.0,151,37,19,18,6,11,1,2,28,7.11,2.70,1.34,18.3%,7.0%
335,Cam Booser,TBR,0,0,3.90,8,0,0,1,,8.0,34,7,4,3,1,3,0,0,9,9.79,3.87,1.31,25.4%,10.0%
336,Philip Abner,ARI,1,1,4.09,14,0,0,1,,14.0,61,14,7,6,2,6,0,1,13,8.14,3.67,1.38,20.9%,9.4%
337,Kyle Hart,SDP,1,1,3.97,24,0,0,1,,24.0,102,23,11,11,3,8,1,1,22,8.08,2.87,1.29,21.1%,7.5%
338,Elmer Rodriguez,NYY,0,0,3.56,6,0,0,1,,6.0,25,6,3,2,1,2,0,0,6,8.54,3.35,1.29,22.4%,8.8%
339,Albert Suarez,BAL,1,1,4.18,25,0,0,1,,25.0,107,26,13,12,3,7,1,1,22,7.83,2.57,1.31,20.4%,6.7%
340,Matt Festa,CLE,3,3,4.16,58,0,0,12,,58.0,248,54,29,27,8,22,1,3,55,8.57,3.37,1.31,22.2%,8.8%
341,Henry Baez,ATH,0,0,4.10,10,0,0,1,,10.0,43,10,5,5,1,3,0,1,8,7.30,3.07,1.35,18.9%,7.9%
342,Zack Thompson,STL,1,1,3.73,12,0,0,1,,12.0,51,11,5,5,1,5,0,1,12,8.92,3.75,1.32,23.1%,9.7%
343,Joel Payamps,ATL,3,3,4.15,53,0,0,10,,53.0,227,52,26,24,7,17,2,2,49,8.25,2.96,1.32,21.4%,7.7%
344,Brycen Mautz,STL,1,1,3.80,16,0,0,1,,16.0,68,15,7,7,2,5,0,1,14,7.84,2.93,1.28,20.5%,7.7%
345,Cionel Perez,WSN,2,2,3.94,32,0,0,1,,32.0,139,30,15,14,3,16,1,2,28,7.95,4.54,1.45,20.3%,11.6%
346,Lake Bachar,MIA,2,2,4.25,48,0,0,4,,48.0,207,45,24,23,7,19,1,2,46,8.71,3.65,1.34,22.4%,9.4%
347,Shane Murphy,CHW,1,1,4.15,20,0,0,1,,20.0,85,21,10,9,3,5,1,1,15,6.62,2.27,1.29,17.3%,6.0%
