#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
79,Troy Melton,DET,3,3,4.19,42,6,0,1,,67.0,284,66,34,31,10,20,,1,59,7.86,2.65,1.27,20.7%,7.0%
80,Bryan King,HOU,4,3,3.62,67,0,1,17,,67.0,278,59,29,27,9,19,,4,66,8.89,2.56,1.17,23.8%,6.9%
81,Kirby Yates,LAA,4,5,3.95,56,0,4,12,,56.0,235,44,27,25,6,27,,4,67,10.81,4.36,1.27,28.6%,11.5%
82,Victor Vodnik,COL,3,4,4.11,64,0,22,4,,64.0,282,61,31,29,7,31,,1,61,8.53,4.42,1.44,21.5%,11.2%
83,Yennier Cano,BAL,5,3,3.58,60,0,1,12,,60.0,254,57,26,24,6,20,,2,53,7.91,2.99,1.28,20.8%,7.8%
84,Luke Weaver,NYM,4,4,4.30,67,0,4,14,,67.0,285,62,35,32,10,23,,2,74,9.91,3.13,1.28,25.9%,8.2%
85,Payton Tolle,BOS,2,2,4.15,29,5,0,1,,46.0,194,43,23,21,7,14,,1,48,9.35,2.65,1.23,24.6%,7.0%
86,Gabe Speier,SEA,4,2,3.46,58,0,0,12,,58.0,239,48,25,22,7,18,,3,67,10.38,2.77,1.13,28.0%,7.5%
87,Mason Englert,TBR,3,2,3.97,60,0,1,12,,60.0,251,56,29,26,8,16,,3,56,8.45,2.43,1.21,22.4%,6.5%
88,Tanner Banks,PHI,3,3,3.92,62,0,0,12,,62.0,258,59,29,27,8,16,,2,57,8.27,2.32,1.21,22.1%,6.2%
89,Mason Montgomery,PIT,2,3,3.84,60,0,2,12,,60.0,259,54,28,26,7,24,,3,64,9.66,3.62,1.30,24.9%,9.3%
90,Jovani Moran,BOS,4,1,3.74,56,0,0,10,,56.0,242,49,25,23,5,25,,1,62,9.98,3.95,1.32,25.7%,10.2%
91,Kutter Crawford,BOS,5,6,4.47,56,6,0,4,,87.0,362,83,46,43,13,26,,3,74,7.74,2.75,1.26,20.5%,7.3%
92,Keegan Akin,BAL,4,3,3.96,66,0,3,15,,66.0,276,60,31,29,9,22,,1,66,9.04,2.97,1.24,24.1%,7.9%
93,Mike Vasil,CHW,4,4,4.23,76,3,1,14,,95.0,413,91,48,45,11,38,,6,77,7.28,3.64,1.36,18.6%,9.3%
94,Greg Weissert,BOS,5,4,4.10,65,0,1,17,,65.0,277,61,32,30,8,23,,3,59,8.20,3.19,1.30,21.3%,8.3%
