#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
174,Corbin Burnes,ARI,3,2,3.19,6,6,0,0,,40.0,164,34,15,14,4,12,,2,37,8.36,2.79,1.16,22.7%,7.6%,
175,Hurston Waldrep,ATL,5,5,4.27,13,13,0,0,,67.0,293,64,34,32,8,29,,3,60,8.06,3.86,1.38,20.5%,9.8%,
176,Andrew Alvarez,WSN,3,5,4.57,35,13,0,1,,85.0,376,89,47,43,10,33,,4,63,6.68,3.48,1.43,16.8%,8.8%,
177,Joe Boyle,TBR,4,5,4.21,21,11,0,1,,64.0,279,53,32,30,7,36,,4,71,10.01,5.00,1.39,25.5%,12.7%,
178,Brandon Sproat,MIL,4,4,4.20,28,10,0,1,,64.0,276,59,32,30,7,24,,5,57,7.96,3.40,1.30,20.5%,8.8%,
179,Michael Soroka,ARI,7,7,4.12,52,11,2,1,,100.0,426,86,49,46,12,38,,10,98,8.83,3.44,1.24,23.1%,9.0%,
180,Hunter Dobbins,STL,5,5,4.57,37,15,0,1,,98.0,424,102,53,50,12,31,,5,67,6.18,2.86,1.36,15.8%,7.3%,
181,Luis Gil,NYY,5,6,4.61,51,11,0,1,,95.0,407,80,53,49,13,48,,4,95,8.93,4.51,1.34,23.3%,11.8%,
182,Max Scherzer,TOR,3,3,4.23,28,10,0,1,,67.0,278,63,34,31,12,18,,3,65,8.75,2.45,1.21,23.4%,6.5%,
183,German Marquez,SDP,6,11,5.31,24,24,0,0,,124.0,552,139,79,73,19,44,,4,87,6.31,3.23,1.49,15.7%,8.0%,
184,Cody Bradford,TEX,5,5,4.42,36,8,0,1,,69.0,288,67,37,34,10,16,,2,56,7.29,2.03,1.20,19.5%,5.4%,
185,Erick Fedde,CHW,6,8,4.97,29,18,0,1,,110.0,480,112,66,61,18,43,,3,86,7.03,3.48,1.40,18.0%,8.9%,
186,Hunter Barco,PIT,3,3,4.23,41,11,0,1,,75.0,331,72,38,35,9,31,,7,71,8.45,3.71,1.36,21.4%,9.4%,
187,Luis Medina,ATH,5,5,4.72,45,11,0,1,,86.0,387,83,49,45,9,41,,8,74,7.69,4.32,1.44,19.1%,10.7%,
188,Stephen Kolek,KCR,4,4,4.23,41,8,0,1,,75.0,325,75,38,35,7,24,,6,52,6.18,2.91,1.33,15.8%,7.5%,
189,Spencer Arrighetti,HOU,5,6,4.36,29,13,0,1,,84.0,368,76,44,41,12,39,,5,86,9.19,4.18,1.36,23.4%,10.6%,
190,Caden Dana,LAA,5,8,4.91,16,16,0,0,,82.0,357,78,48,45,13,36,,5,75,8.29,3.91,1.39,21.1%,10.0%,
191,Alex Cobb,,2,1,4.06,6,6,0,0,,31.0,137,32,15,14,3,10,,1,26,7.45,3.00,1.37,19.0%,7.7%,
192,Josiah Gray,WSN,6,8,4.82,21,21,0,0,,111.0,483,107,64,59,18,48,,7,100,8.09,3.89,1.40,20.6%,9.9%,
193,Connelly Early,BOS,3,3,4.07,27,5,0,1,,46.0,201,42,23,21,5,17,,4,47,9.14,3.32,1.28,23.4%,8.5%,
194,Tyler Anderson,LAA,4,6,4.85,18,18,0,0,,97.0,423,99,57,52,16,39,,4,75,6.98,3.63,1.43,17.8%,9.3%,
195,Jordan Montgomery,TEX,2,3,4.46,18,6,0,1,,50.0,215,50,27,25,7,17,,1,42,7.66,3.12,1.36,19.7%,8.0%,
196,Colin Rea,CHC,4,5,4.39,44,8,0,1,,83.0,353,83,44,41,12,24,,4,63,6.82,2.57,1.28,17.8%,6.7%,
197,Martin Perez,ATL,2,2,4.46,8,8,0,0,,44.0,193,46,24,22,5,17,,1,33,6.73,3.45,1.42,17.2%,8.8%,
198,J.T. Ginn,ATH,3,3,4.41,30,6,0,1,,56.0,242,52,30,27,8,21,,4,55,8.82,3.35,1.31,22.6%,8.6%,
199,Griffin Canning,SDP,6,6,4.76,30,18,0,1,,103.0,443,101,59,54,17,40,,3,93,8.12,3.53,1.37,21.0%,9.1%,
200,Hayden Birdsong,SFG,3,4,4.47,26,8,0,1,,56.0,243,50,30,28,7,27,,4,55,8.85,4.30,1.38,22.5%,10.9%,
201,Jose Urquidy,PIT,5,6,4.80,33,15,0,1,,89.0,380,91,51,48,14,26,,4,65,6.56,2.65,1.32,17.1%,6.9%,
202,Mitchell Parker,WSN,4,5,4.70,34,6,0,1,,63.0,272,65,35,33,8,23,,1,45,6.54,3.30,1.40,16.7%,8.5%,
203,Drew Thorpe,CHW,2,3,4.86,8,8,0,0,,41.0,177,43,24,22,6,15,,0,31,6.75,3.20,1.39,17.4%,8.3%,
204,Trevor McDonald,SFG,3,4,4.36,24,8,0,1,,62.0,270,62,32,30,7,21,,6,48,6.99,3.05,1.34,17.8%,7.7%,
