#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
209,Thomas White,MIA,1,2,4.02,5,5,0,0,,23.0,101,20,11,10,3,11,,1,26,9.99,4.42,1.37,25.6%,11.3%,3
210,Ty Johnson,TBR,1,1,3.68,3,3,0,0,,18.0,79,16,8,8,2,7,,1,21,10.34,3.62,1.25,26.8%,9.4%,2
211,Quinn Mathews,STL,2,3,4.52,8,8,0,0,,40.0,180,39,22,20,5,21,,2,38,8.46,4.64,1.48,21.1%,11.6%,4
212,Clarke Schmidt,NYY,2,1,3.94,17,3,0,1,,33.0,140,29,16,15,5,12,,1,32,8.66,3.11,1.22,23.0%,8.3%,2
213,Hayden Birdsong,SFG,3,2,4.44,26,8,0,1,,58.0,257,54,32,29,8,30,,3,59,9.05,4.54,1.43,22.9%,11.5%,4
214,Tanner Gordon,COL,3,2,5.59,30,6,0,1,,60.0,260,71,40,37,11,14,,3,41,6.23,2.19,1.43,15.9%,5.6%,3
215,Taijuan Walker,PHI,6,3,5.31,50,16,0,1,,121.0,530,129,78,71,20,47,,6,84,6.27,3.46,1.45,15.9%,8.8%,7
216,Gage Jump,ATH,1,1,4.42,3,3,0,0,,17.0,76,17,9,8,2,7,,1,16,8.42,3.41,1.36,21.4%,8.7%,1
217,Noah Schultz,CHW,1,1,4.38,3,3,0,0,,17.0,77,17,9,8,2,8,,1,15,8.05,4.15,1.43,20.2%,10.4%,2
218,George Klassen,LAA,2,1,4.19,15,3,0,1,,29.0,130,27,15,14,4,14,,1,30,9.16,4.30,1.39,23.0%,10.8%,2
219,Jason Alexander,HOU,2,1,4.67,29,5,0,1,,49.0,216,52,28,26,7,17,,2,38,6.87,3.06,1.39,17.4%,7.8%,3
220,Mitchell Parker,WSN,3,2,5.02,34,6,0,1,,66.0,284,69,40,37,10,23,,3,48,6.50,3.11,1.40,16.7%,8.0%,3
221,Martin Perez,ATL,3,3,5.08,8,8,0,0,,46.0,197,48,28,26,7,17,,2,33,6.53,3.34,1.42,16.8%,8.6%,3
222,Ryan Bergert,KCR,3,2,5.14,28,8,0,1,,60.0,262,63,38,35,9,25,,3,47,6.99,3.68,1.45,17.9%,9.4%,4
223,Alan Rangel,PHI,2,1,4.71,13,3,0,1,,29.0,125,29,17,15,5,10,,1,25,7.52,2.93,1.30,19.7%,7.7%,2
224,Gunnar Hoglund,ATH,2,1,5.07,21,5,0,1,,41.0,179,44,25,23,7,14,,2,31,6.71,2.99,1.39,17.2%,7.7%,2
225,Carson Whisenhunt,SFG,2,1,4.53,15,3,0,1,,30.0,130,30,17,15,4,11,,1,25,7.43,3.21,1.36,19.3%,8.3%,2
