Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,W%,L%,SV%,HLD%,BS%,H%,R%,ER%,HR%,IBB%,HBP%
Tanner Scott,LAD,0,66,66,277,6,4,0,18,11,4,50,24,22,5,2,3,81,31,11.03,4.22,2.97,1.23,29.24187726,11.19133574,0.090909091,0.060606061,0.272727273,0.166666667,0.060606061,0.180505415,0.086642599,0.079422383,0.018050542,0.007220217,0.010830325
Andrew Nardi,MIA,0,56,55,232,4,3,0,2,13,3,47,25,23,7,1,2,69,22,11.26,3.54,3.79,1.25,29.74137931,9.482758621,0.071428571,0.053571429,0.035714286,0.232142857,0.053571429,0.202586207,0.107758621,0.099137931,0.030172414,0.004310345,0.00862069
Calvin Faucher,MIA,0,55,58.1,254,3,3,0,12,8,2,56,29,26,6,2,3,61,26,9.39,3.95,4.06,1.4,24.01574803,10.23622047,0.054545455,0.054545455,0.218181818,0.145454545,0.036363636,0.220472441,0.114173228,0.102362205,0.023622047,0.007874016,0.011811024
Jesus Tinoco,MIA,0,59,67.1,284,3,2,0,10,13,2,61,31,28,8,1,4,68,24,9.13,3.22,3.77,1.26,23.94366197,8.450704225,0.050847458,0.033898305,0.169491525,0.220338983,0.033898305,0.214788732,0.10915493,0.098591549,0.028169014,0.003521127,0.014084507
Aaron Ashby,MIL,11,33,85,373,4,6,4,1,4,1,80,43,39,9,1,4,83,41,8.81,4.36,4.14,1.42,22.25201072,10.9919571,0.121212121,0.181818182,0.03030303,0.121212121,0.03030303,0.214477212,0.115281501,0.104557641,0.024128686,0.002680965,0.010723861
Jared Koenig,MIL,2,53,61.2,262,5,4,0,2,10,2,58,27,25,6,2,3,60,22,8.71,3.26,3.67,1.3,22.90076336,8.396946565,0.094339623,0.075471698,0.037735849,0.188679245,0.037735849,0.221374046,0.103053435,0.095419847,0.022900763,0.007633588,0.011450382
Joel Payamps,MIL,0,62,61.2,256,3,4,0,6,18,2,56,27,25,8,2,3,61,19,8.87,2.71,3.65,1.2,23.828125,7.421875,0.048387097,0.064516129,0.096774194,0.290322581,0.032258065,0.21875,0.10546875,0.09765625,0.03125,0.0078125,0.01171875
Nick Mears,MIL,0,56,58,248,2,3,0,0,12,2,50,28,26,7,1,2,70,27,10.94,4.14,4.06,1.32,28.22580645,10.88709677,0.035714286,0.053571429,0,0.214285714,0.035714286,0.201612903,0.112903226,0.10483871,0.028225806,0.004032258,0.008064516
Trevor Megill,MIL,0,58,59.2,250,3,3,0,25,6,4,52,26,24,7,2,3,71,21,10.72,3.22,3.55,1.22,28.4,8.4,0.051724138,0.051724138,0.431034483,0.103448276,0.068965517,0.208,0.104,0.096,0.028,0.008,0.012
Cole Sands,MIN,0,58,64.2,269,5,3,0,4,10,2,58,29,26,7,1,3,70,19,9.79,2.66,3.68,1.18,26.02230483,7.063197026,0.086206897,0.051724138,0.068965517,0.172413793,0.034482759,0.215613383,0.107806691,0.096654275,0.026022305,0.003717472,0.011152416
Griffin Jax,MIN,0,65,66,266,5,4,0,7,17,5,54,25,23,6,1,3,77,18,10.52,2.41,3.15,1.09,28.94736842,6.766917293,0.076923077,0.061538462,0.107692308,0.261538462,0.076923077,0.203007519,0.093984962,0.086466165,0.022556391,0.003759398,0.011278195
Jhoan Duran,MIN,0,63,62.1,255,5,4,0,28,6,4,51,21,20,5,2,4,76,19,10.99,2.81,2.86,1.13,29.80392157,7.450980392,0.079365079,0.063492063,0.444444444,0.095238095,0.063492063,0.2,0.082352941,0.078431373,0.019607843,0.007843137,0.015686275
A.J. Minter,NYM,0,55,52.2,216,4,3,0,2,14,4,44,21,20,6,1,2,60,17,10.27,2.96,3.35,1.16,27.77777778,7.87037037,0.072727273,0.054545455,0.036363636,0.254545455,0.072727273,0.203703704,0.097222222,0.092592593,0.027777778,0.00462963,0.009259259
Edwin Diaz,NYM,0,64,64.1,261,5,3,0,34,3,6,46,23,21,6,1,3,92,23,12.87,3.23,3,1.08,35.24904215,8.812260536,0.078125,0.046875,0.53125,0.046875,0.09375,0.176245211,0.088122605,0.08045977,0.022988506,0.003831418,0.011494253
