#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
151,Carson Williams,TBR,100,390,434,86,53,13,3,16,58,56,37,0,148,4,2,2,13,5,8,0.221,0.293,0.398,0.691,0.307,34.10%,8.50%
152,Heliot Ramos,SFG,149,580,644,150,102,24,2,22,80,82,49,2,149,11,4,0,6,3,3,0.259,0.327,0.422,0.748,0.31,23.10%,7.70%
153,Colt Keith,DET,113,440,490,117,74,26,2,15,66,66,44,1,107,3,4,0,2,1,1,0.265,0.333,0.435,0.769,0.317,21.90%,9.00%
154,Ozzie Albies,ATL,146,571,630,143,94,27,2,19,77,73,47,1,91,5,6,0,12,3,9,0.25,0.309,0.404,0.713,0.265,14.50%,7.50%
155,Adolis Garcia,PHI,141,556,609,137,79,28,1,28,78,95,39,1,161,7,7,0,13,4,9,0.245,0.3,0.451,0.75,0.29,26.50%,6.40%
156,Christian Walker,HOU,138,529,595,123,71,24,1,26,69,80,50,2,155,9,6,0,3,1,2,0.233,0.307,0.431,0.739,0.273,26.00%,8.50%
157,Ha-Seong Kim,ATL,96,361,413,88,64,15,1,8,48,41,43,1,72,4,4,2,16,4,12,0.244,0.328,0.361,0.689,0.281,17.50%,10.40%
158,Nick Gonzales,PIT,97,384,420,102,65,24,4,8,49,45,26,0,87,6,4,0,2,3,-1,0.265,0.318,0.41,0.728,0.32,20.70%,6.10%
159,Ryan McMahon,NYY,113,428,490,90,56,17,1,16,52,56,56,2,154,3,3,0,3,3,0,0.21,0.305,0.369,0.673,0.284,31.50%,11.40%
160,Alec Burleson,STL,139,552,602,151,103,26,1,20,66,77,41,0,83,3,5,1,6,1,5,0.274,0.325,0.436,0.761,0.288,13.80%,6.80%
161,Victor Scott II,STL,134,511,581,115,86,18,3,8,68,49,46,0,122,10,5,9,41,7,34,0.226,0.3,0.321,0.621,0.279,21.00%,8.00%
162,Denzel Clarke,ATH,97,376,420,87,55,19,4,9,54,48,34,0,142,8,1,1,15,3,12,0.231,0.307,0.377,0.684,0.345,33.80%,8.00%
163,Kerry Carpenter,DET,113,450,490,118,68,21,3,25,63,85,32,2,116,6,2,0,2,2,0,0.262,0.318,0.491,0.808,0.297,23.60%,6.40%
164,Luis Arraez,SFG,144,578,623,180,143,28,3,6,69,62,31,2,24,4,4,7,8,3,5,0.311,0.348,0.399,0.747,0.315,3.90%,4.90%
165,Eugenio Suarez,CIN,143,543,616,128,69,23,1,35,79,100,54,1,189,11,8,0,3,1,2,0.236,0.313,0.478,0.791,0.284,30.70%,8.70%
166,Anthony Volpe,NYY,110,431,476,97,58,22,3,13,55,54,36,0,115,4,3,2,17,5,12,0.225,0.289,0.383,0.672,0.273,24.10%,7.70%
167,Addison Barger,TOR,120,468,518,114,65,27,1,21,65,75,44,2,120,4,2,0,4,2,2,0.244,0.313,0.441,0.754,0.284,23.20%,8.50%
168,Jared Triolo,PIT,128,488,553,121,85,24,4,9,64,50,57,1,124,4,2,1,16,4,12,0.248,0.33,0.366,0.696,0.314,22.30%,10.40%
169,Chase DeLauter,CLE,110,426,476,105,67,24,0,14,62,55,45,0,83,0,5,0,2,2,0,0.246,0.315,0.402,0.717,0.271,17.50%,9.50%
170,Davis Schneider,TOR,75,274,322,61,34,12,1,13,41,42,42,0,91,4,2,0,4,1,3,0.222,0.331,0.421,0.752,0.278,28.40%,13.10%
171,Miguel Vargas,CHW,139,524,602,123,74,29,2,17,83,66,66,0,109,7,5,0,8,2,6,0.235,0.325,0.4,0.725,0.263,18.10%,10.90%
172,Connor Norby,MIA,115,454,497,113,73,23,2,15,68,60,34,0,132,5,4,0,9,3,6,0.248,0.306,0.408,0.714,0.314,26.50%,6.90%
173,Jackson Holliday,BAL,104,398,448,98,64,19,2,13,60,48,45,1,99,3,1,0,11,6,5,0.247,0.328,0.404,0.731,0.295,22.00%,10.10%
174,Freddy Fermin,SDP,118,423,467,99,72,17,0,10,44,45,31,1,93,3,4,6,1,1,0,0.234,0.288,0.344,0.633,0.275,20.00%,6.70%
175,Jung Hoo Lee,SFG,141,553,609,149,105,28,7,10,69,62,47,1,61,6,2,1,8,4,4,0.27,0.332,0.398,0.73,0.287,10.10%,7.70%
176,Josh Lowe,LAA,115,451,497,116,72,27,2,15,63,57,39,2,133,2,3,1,22,3,19,0.257,0.318,0.425,0.742,0.33,26.80%,7.90%
177,Brett Baty,NYM,102,399,441,100,66,15,1,18,55,57,37,0,108,4,2,0,5,1,4,0.251,0.318,0.427,0.746,0.299,24.40%,8.30%
178,Carlos Narvaez,BOS,107,374,423,84,53,21,0,10,44,47,41,1,110,4,2,1,2,1,1,0.224,0.307,0.362,0.669,0.289,26.10%,9.80%
179,Zach McKinstry,DET,109,419,469,102,67,19,6,10,58,45,41,1,101,5,3,1,16,3,13,0.243,0.316,0.392,0.708,0.294,21.50%,8.60%
180,TJ Friedl,CIN,144,535,623,128,92,20,4,13,71,63,64,0,104,15,5,4,14,3,11,0.24,0.335,0.364,0.699,0.274,16.70%,10.30%
181,Garrett Mitchell,MIL,94,359,406,86,56,19,4,7,52,45,39,0,125,4,2,2,17,4,13,0.238,0.318,0.373,0.691,0.341,30.70%,9.60%
182,Brandon Marsh,PHI,115,439,497,114,74,22,3,15,62,62,48,1,141,2,5,2,10,3,7,0.26,0.333,0.425,0.757,0.344,28.30%,9.70%
183,Marcell Ozuna,PIT,122,452,525,112,70,19,0,23,61,70,67,1,129,3,4,0,0,0,0,0.248,0.346,0.446,0.792,0.294,24.60%,12.70%
184,Justin Crawford,PHI,99,389,427,111,86,17,3,6,64,45,30,0,88,1,2,6,23,6,17,0.286,0.337,0.39,0.727,0.356,20.60%,7.00%
185,Ke'Bryan Hayes,CIN,123,490,532,118,88,18,2,9,54,52,36,1,106,4,2,0,12,3,9,0.24,0.296,0.343,0.638,0.287,19.90%,6.70%
186,Danny Jansen,TEX,89,305,352,63,35,13,0,14,39,43,39,0,86,5,2,0,0,0,0,0.205,0.305,0.388,0.694,0.233,24.30%,11.20%
187,Brandon Lowe,PIT,126,494,546,120,75,23,1,21,68,67,43,1,142,4,4,0,3,1,2,0.244,0.308,0.424,0.733,0.296,25.90%,8.00%
