#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
89,Jovani Moran,BOS,2,2,3.77,48,0,0,10,,50.2,216,41,23,21,5,24,1,2,55,9.83,4.33,1.29,25.6%,11.3%
90,Steven Okert,HOU,3,2,4.09,63,0,0,14,,62.2,262,51,31,29,10,22,1,3,71,10.24,3.09,1.16,27.3%,8.2%
91,Tyler Alexander,TEX,2,3,4.17,49,2,0,11,,69.0,287,64,34,32,10,17,2,4,57,7.47,2.18,1.17,19.9%,5.8%
92,Javier Assad,CHC,2,2,4.26,39,3,0,7,,58.2,253,56,30,28,6,24,1,3,48,7.38,3.73,1.36,19.0%,9.6%
93,Luis Garcia,HOU,2,4,4.25,39,3,1,0,,51.1,216,45,26,24,8,18,1,2,52,7.67,3.11,1.27,20.2%,8.2%
94,Jack Dreyer,LAD,3,1,3.83,48,0,1,12,,50.2,212,43,23,22,6,18,2,1,50,8.85,3.14,1.21,23.5%,8.4%
95,Yimi Garcia,TOR,3,1,3.78,54,0,5,11,,54.2,226,44,25,23,8,17,1,4,61,9.95,2.80,1.11,26.8%,7.5%
96,Brandyn Garcia,ARI,2,1,3.83,44,0,0,7,,47.2,205,44,22,20,4,19,1,4,46,8.70,3.52,1.31,22.5%,9.1%
97,Kendry Rojas,MIN,1,1,3.72,25,1,0,0,,31.0,131,28,14,13,3,10,1,1,32,9.31,3.04,1.24,24.6%,8.0%
98,Riley O'Brien,STL,3,2,4.01,61,0,16,9,,63.1,276,55,30,28,5,30,2,6,64,9.14,4.29,1.35,23.4%,11.0%
99,Luis Garcia,NYM,3,2,3.90,52,0,0,13,,54.1,229,50,25,24,5,19,1,2,46,7.67,3.11,1.27,20.2%,8.2%
100,Mason Fluharty,TOR,2,1,3.44,36,0,0,1,,36.0,150,28,15,14,4,13,2,3,39,9.80,3.12,1.13,26.2%,8.4%
101,Louis Varland,TOR,3,2,4.23,58,0,4,13,,65.1,278,62,33,31,9,21,2,2,66,9.11,2.92,1.27,23.8%,7.6%
102,Ryan Thompson,ARI,2,2,4.41,60,0,5,16,,62.0,266,62,33,30,6,19,2,4,51,7.37,2.70,1.31,19.1%,7.0%
103,Dennis Santana,PIT,3,2,4.17,64,0,24,5,,66.2,284,61,33,31,7,25,2,3,60,8.15,3.35,1.29,21.2%,8.7%
104,AJ Blubaugh,HOU,2,2,4.02,31,2,0,1,,45.2,194,39,22,20,6,19,1,1,47,9.32,3.76,1.26,24.4%,9.8%
105,Justin Lawrence,PIT,2,2,4.20,54,0,1,12,,58.1,255,54,29,27,5,27,1,5,56,8.70,4.09,1.37,22.1%,10.4%
106,Kevin Ginkel,ARI,2,2,4.22,56,0,15,11,,58.2,250,54,29,27,7,22,1,3,56,8.68,3.37,1.30,22.6%,8.8%
107,Paul Blackburn,NYY,3,3,4.65,47,3,0,12,,64.1,279,66,35,33,7,23,2,2,52,7.22,3.25,1.39,18.5%,8.3%
108,Eric Lauer,TOR,2,2,4.39,38,4,0,4,,61.0,260,55,32,30,10,22,2,2,61,9.04,3.32,1.28,23.6%,8.6%
109,Emilio Pagan,CIN,3,2,3.99,63,0,26,4,,65.0,269,53,31,29,10,23,1,2,70,9.74,3.19,1.16,26.1%,8.5%
110,Cole Sands,MIN,3,2,4.58,62,0,4,13,,66.0,284,64,36,34,9,22,1,4,61,8.24,2.99,1.30,21.3%,7.7%
